2025-11-26 17:45:57 [INFO] __main__: Stopping bridge (Ctrl+C detected)
2025-11-26 17:45:57 [INFO] __main__: ============================================================
2025-11-26 17:45:57 [INFO] __main__: 
Runtime: 1073.8 seconds
2025-11-26 17:45:57 [INFO] __main__: Messages sent: 1102
2025-11-26 17:45:57 [INFO] __main__: Average rate: 1.03 msg/s
2025-11-26 17:45:57 [INFO] __main__: Cleaning up...
2025-11-26 17:45:57 [INFO] browser_automation: Stopping simulation...
2025-11-26 17:45:57 [WARNING] browser_automation: Error stopping simulation: Locator.click: Target page, context or browser has been closed
2025-11-26 17:45:57 [INFO] __main__: ✓ Browser closed
2025-11-26 17:45:57 [INFO] __main__: Bridge stopped successfully
2025-11-26 17:45:57 [INFO] __main__: ============================================================
2025-11-26 17:45:57 [INFO] __main__: Application terminated
2025-11-26 17:45:57 [INFO] __main__: ============================================================
